6,-26,-1006,45,-95,25<\n>
-3,-36,-1013,-15,-85,40<\n>
3,-39,-999,30,-70,-40<\n>
-3,-26,-1003,-45,-70,15<\n>
3,-39,-1009,25,-105,20<\n>
3,-23,-999,45,-110,45<\n>
-6,-26,-999,35,-35,-5<\n>
-6,-33,-989,75,-80,-5<\n>
-6,-23,-996,15,-80,-10<\n>
-6,-33,-999,35,-140,15<\n>
-6,-36,-986,5,-65,5<\n>
-6,-26,-999,25,-85,0<\n>
-9,-29,-993,35,-125,20<\n>
-9,-33,-993,55,-60,50<\n>
-6,-29,-999,25,-80,0<\n>
-6,-33,-989,40,-115,15<\n>
-6,-29,-993,5,-110,25<\n>
-9,-33,-993,-10,-135,15<\n>
-3,-36,-986,60,-40,-10<\n>
-9,-26,-999,20,20,-25<\n>
0,-43,-996,15,-65,40<\n>
-16,-33,-989,-5,-80,30<\n>
-6,-26,-993,50,-5,20<\n>
-13,-33,-993,55,-25,-10<\n>
-13,-26,-999,40,-50,-30<\n>
-6,-29,-983,10,-60,20<\n>
-19,-36,-986,15,-15,65<\n>
-19,-26,-996,95,-115,10<\n>
-19,-33,-989,50,-5,-15<\n>
-16,-36,-996,70,-110,50<\n>
-13,-26,-989,25,-40,-15<\n>
-9,-29,-996,60,10,35<\n>
-9,-36,-993,90,-65,0<\n>
-13,-29,-989,60,-75,25<\n>
-16,-36,-993,0,-55,10<\n>
-9,-29,-986,-30,-120,55<\n>
-16,-29,-996,25,-110,25<\n>
-16,-33,-999,25,-25,0<\n>
-16,-39,-993,60,-50,-10<\n>
-23,-39,-1003,25,-30,10<\n>
-16,-29,-996,25,-5,15<\n>
-16,-39,-996,85,-95,-30<\n>
-23,-39,-1006,20,-40,5<\n>
-16,-36,-996,85,-45,-25<\n>
-16,-39,-1006,65,-25,35<\n>
-13,-36,-999,65,-100,-15<\n>
-19,-36,-999,10,-50,40<\n>
-13,-36,-1006,0,-40,25<\n>
-19,-39,-1006,20,-20,-40<\n>
-9,-33,-1006,35,-35,-55<\n>
-19,-36,-1003,50,-25,10<\n>
-13,-33,-1009,40,-40,-25<\n>
-19,-39,-1009,20,0,50<\n>
-6,-36,-1006,50,-60,-45<\n>
-13,-39,-1019,-5,-35,65<\n>
-9,-33,-1009,10,-5,10<\n>
-16,-39,-1016,65,10,15<\n>
-13,-43,-1013,20,-65,40<\n>
-9,-39,-1006,45,-60,20<\n>
-13,-33,-1013,35,-55,10<\n>
-9,-39,-1003,55,-40,45<\n>
-19,-36,-1023,85,-80,-70<\n>
-9,-46,-1009,30,-40,50<\n>
-16,-39,-1019,25,-50,5<\n>
-16,-36,-1026,35,-100,-5<\n>
-9,-43,-1013,15,-50,30<\n>
-9,-36,-1019,0,-105,5<\n>
-16,-39,-1013,-20,-50,-5<\n>
-9,-36,-1023,45,-20,30<\n>
-9,-36,-1026,65,-35,0<\n>
-13,-43,-1013,45,-25,20<\n>
-9,-36,-1029,5,-10,0<\n>
-6,-36,-1026,75,-60,20<\n>
